Features per frame = 150
Frame 0
577.885 150.652 0
763.334 124.029 0
823.938 143.528 0
1144.55 326.165 0
1126.21 374.551 0
828.474 188.628 0
714.081 221.317 0
1103.72 125.521 0
557.263 194.592 0
1155.48 211.337 0
715.868 51.4838 0
1264.45 93.7714 0
306.157 265.83 0
1301.92 166.004 -1
1185.88 24.1802 0
1163.08 70.8438 0
797.506 143.429 0
567.082 155.311 0
541.077 135.258 0
819.344 235.931 0
789.56 171.81 0
704.821 90.5263 0
905.81 99.598 0
741.261 256.728 0
640.828 242.12 0
1040.84 86.8793 0
1220.34 80.623 0
566.904 213.942 0
710.28 164.117 0
1262.15 178.809 0
881.67 124.539 0
1221.14 143.118 0
Frame 4
971.137 521.786 0
752.064 210.768 0
941.315 704.45 0
75.4464 363.433 0
710.302 129.116 0
779.333 196.78 0
955.742 618.153 0
771.103 204.985 0
923.446 482.112 0
1260.87 61.5196 0
1273.33 28.7464 0
79.3468 352.598 0
925.581 463.13 0
80.9772 469.621 0
750.349 206.983 0
912.283 477.772 0
79.8946 423.413 0
707.851 132.077 0
1235.3 62.6618 0
1143.5 4.494 0
1262.82 167.741 0
96.4836 392.947 0
1286.3 23.5498 0
1248.81 40.8868 0
1278.09 56.0922 0
496.096 682.207 0
1081.1 51.5845 0
536.469 667.522 0
650.113 220.203 0
727.403 84.5754 0
480.468 -22.7562 -1
906.074 129.2 0
750.785 249.968 0
1238.79 172.561 0
1005.84 20.3093 0
1225.54 169.493 0
506.05 690.207 0
1236.52 284.786 0
543.609 659.466 0
1256.22 71.3764 0
526.419 670.415 0
676.874 104.288 0
1068.58 59.5269 0
1272.74 139.848 0
921.775 130.388 0
1252.43 146.972 0
1277.58 39.5097 0
603.251 213.134 0
1127.91 351.606 0
671.523 78.7604 0
1270.25 57.9137 0
105.072 198.921 0
632.099 246.184 0
1120.84 60.7203 0
81.3684 372.357 0
101.253 339.692 0
343.502 169.96 0
1116.25 334.451 0
901.812 86.5403 0
744.406 46.5601 0
697.456 84.5276 0
1292.46 32.8789 -1
228.916 137.419 0
1143.25 18.4902 0
1124.24 3.23773 0
1258.32 16.7857 0
750.68 168.62 0
1250.38 194.007 0
905.731 119.201 0
971.635 166.853 0
788.459 247.29 0
48.0299 597.496 0
992.861 16.5607 0
517.683 656.251 0
732.2 226.918 0
929.38 511.425 0
952.159 618.528 0
1023.76 17.4064 0
325.94 169.815 0
571.223 186.724 0
212.715 155.857 0
682.677 139.183 0
973.713 155.558 0
705.815 151.061 0
739.54 276.068 0
1086.63 1.8404 0
1277.48 423.133 0
62.0861 424.188 0
1203.75 225.911 0
0.855154 501.646 0
1139.02 60.9675 0
766.333 46.5931 0
1291 285.329 -1
1150.94 307.874 0
754.354 206.99 0
